N,P,K,temperature,humidity,pH,rainfall,crop,variety
212.71,74.0,108.62,25.43,78.64,6.36,244.58,Sugarcane,Other
99.83,55.18,44.88,24.37,59.23,7.56,52.62,Wheat,Local
82.79,49.85,56.18,16.7,62.94,6.3,93.58,Wheat,Local
43.88,38.43,72.22,19.94,65.64,6.21,86.33,Apple,Apple
114.99,50.09,49.82,24.61,60.65,6.53,113.12,Brinjal,Brinjal
177.55,82.21,97.82,19.49,76.76,5.77,77.48,Potato,Potato
119.21,59.99,55.68,18.26,67.92,7.28,89.18,Onion,Local
92.77,56.31,57.45,30.91,83.8,6.87,211.08,Rice,Common
132.61,92.96,113.97,17.91,73.15,6.08,59.68,Potato,Potato
64.64,45.23,98.37,28.71,55.17,7.2,69.11,Grapes,Other
128.03,50.9,64.56,18.02,66.27,6.13,93.53,Maize,Hybrid/Local
100.13,60.95,68.46,23.81,58.93,7.05,75.37,Maize,Hybrid/Local
67.34,57.87,44.11,16.13,66.78,6.02,92.71,Garlic,Garlic
139.81,49.33,59.12,25.94,78.42,6.42,94.23,Cotton,Other
71.73,33.9,22.84,31.98,55.37,6.81,45.35,Bajra(Pearl Millet/Cumbu),Hybrid
160.98,75.72,81.41,24.31,68.34,7.66,210.07,Sugarcane,Other
31.27,40.08,30.07,21.06,66.2,6.74,60.49,Groundnut,Local
131.27,55.87,116.69,18.52,63.59,6.41,136.07,Orange,Orange
57.46,38.64,30.41,17.03,63.65,6.47,50.31,Coriander(Leaves),Coriander
38.07,46.98,37.58,24.73,59.4,6.76,79.08,Arhar Dal(Tur Dal),Arhar Dal(Tur)
55.27,38.95,30.47,18.5,65.29,7.11,67.36,Coriander(Leaves),Coriander
105.86,57.94,40.02,25.59,58.01,7.4,55.17,Green Chilli,Green Chilly
78.26,36.03,46.95,19.97,52.72,7.78,73.76,Mustard,Mustard
78.07,31.36,30.66,22.68,59.52,6.5,68.18,Mustard,Mustard
98.76,37.74,63.74,27.2,66.29,7.44,52.65,Grapes,Other
92.09,48.01,50.47,24.4,66.97,6.27,50.28,Wheat,Local
95.35,32.65,48.37,22.14,81.9,5.6,108.68,Paddy(Basmati),Basmati
82.26,41.74,53.95,23.08,71.59,6.23,64.89,Brinjal,Brinjal
32.33,52.34,40.4,26.13,62.96,6.25,64.16,Soyabean,Local
28.07,64.12,48.32,24.05,64.69,6.67,67.74,Soyabean,Local
167.63,62.51,243.88,33.1,83.29,6.97,220.41,Banana,Other
100.79,55.56,86.2,26.41,63.13,6.92,146.18,Turmeric(raw),Other
116.17,48.26,89.85,32.34,70.88,6.34,134.74,Mango(Raw-Ripe),Other
112.83,53.48,100.22,27.28,64.95,5.9,94.84,Mango(Raw-Ripe),Other
110.55,48.54,109.33,26.91,63.43,5.87,120.35,Ginger(Green),Green Ginger
69.68,32.68,82.05,20.52,68.37,6.33,93.44,Grapes,Other
93.47,50.08,40.47,25.12,87.15,6.11,236.38,Rice,Common
183.31,128.42,192.03,33.0,77.59,7.06,126.79,Papaya,Papaya
152.86,106.77,178.65,32.39,73.23,6.52,115.98,Papaya,Papaya
39.91,50.19,45.27,21.93,71.78,7.43,79.96,Soyabean,Local
85.83,40.93,38.01,21.42,73.55,6.49,140.18,Paddy(Basmati),Basmati
100.09,46.47,45.09,20.59,57.06,6.72,56.61,Wheat,Local
188.24,59.36,207.9,29.51,91.62,6.7,220.93,Banana,Other
173.21,119.27,85.74,20.68,75.38,6.35,60.12,Potato,Potato
95.41,40.32,54.99,25.91,57.56,6.0,92.55,Pumpkin,Pumpkin
128.14,52.13,60.68,15.42,65.28,6.11,84.27,Cabbage,Cabbage
118.66,67.56,65.29,18.17,60.79,6.55,84.58,Maize,Hybrid/Local
95.28,38.39,30.33,22.05,68.23,6.01,154.61,Paddy(Basmati),Basmati
82.71,37.79,88.48,16.88,50.73,7.29,75.99,Grapes,Other
47.8,20.69,37.21,29.59,42.9,7.03,68.68,Bajra(Pearl Millet/Cumbu),Hybrid
22.39,43.21,15.56,28.09,78.21,6.36,72.37,Green Gram Dal(Moong Dal),Green Gram Dal
144.01,69.9,56.28,20.05,79.74,6.64,75.21,Cabbage,Cabbage
82.32,48.3,101.78,23.87,68.48,5.81,146.98,Ginger(Green),Green Ginger
71.75,36.02,114.3,28.36,82.42,6.96,240.08,Coconut,Coconut
81.74,46.28,58.44,24.17,54.48,6.52,58.88,Garlic,Garlic
217.16,51.83,113.47,23.86,76.17,7.48,222.64,Sugarcane,Other
165.32,138.44,191.76,31.04,64.71,6.29,175.17,Papaya,Papaya
24.5,49.59,18.5,28.72,60.68,6.1,64.49,Green Gram Dal(Moong Dal),Green Gram Dal
37.56,51.16,27.38,21.23,48.51,6.25,61.32,Bengal Gram(Gram)(Whole),Desi (Whole)
60.79,21.69,35.05,27.46,48.4,7.4,73.94,Bajra(Pearl Millet/Cumbu),Hybrid
143.87,43.18,105.17,27.95,70.05,6.95,161.64,Turmeric(raw),Other
76.1,33.86,85.2,18.71,55.79,7.46,50.95,Grapes,Other
76.3,55.52,52.96,18.97,55.48,7.18,84.31,Garlic,Garlic
85.24,51.12,45.69,16.98,50.9,6.2,82.77,Garlic,Garlic
32.33,57.65,25.9,23.02,50.68,7.0,90.29,Arhar Dal(Tur Dal),Arhar Dal(Tur)
77.34,39.42,48.49,17.26,61.2,6.64,68.37,Mustard,Mustard
92.66,55.7,44.05,26.31,61.52,7.46,57.96,Green Chilli,Green Chilly
61.98,42.38,59.48,23.69,53.88,6.75,73.04,Garlic,Garlic
106.13,50.17,47.18,23.41,63.85,7.12,58.13,Wheat,Local
28.0,32.48,26.74,34.77,79.39,7.14,76.28,Green Gram Dal(Moong Dal),Green Gram Dal
38.75,65.13,40.57,25.08,55.13,6.82,114.49,Soyabean,Local
85.7,34.88,46.5,22.43,69.99,6.62,112.74,Paddy(Basmati),Basmati
110.55,66.51,52.05,16.3,61.3,6.55,69.84,Cabbage,Cabbage
82.34,56.79,55.06,26.59,61.07,6.57,63.64,Brinjal,Brinjal
87.22,40.44,94.3,24.46,67.89,6.59,142.0,Mango(Raw-Ripe),Other
87.75,45.88,51.96,15.37,55.78,6.63,83.88,Onion,Local
88.55,52.59,57.77,17.5,59.63,7.9,69.93,Wheat,Local
35.98,48.68,28.85,19.97,55.22,6.56,74.42,Bengal Gram(Gram)(Whole),Desi (Whole)
25.76,41.25,24.43,27.52,77.41,6.33,43.85,Green Gram Dal(Moong Dal),Green Gram Dal
65.6,53.54,59.04,24.75,52.64,7.01,98.84,Pumpkin,Pumpkin
111.98,48.87,105.99,23.92,74.97,5.68,146.08,Ginger(Green),Green Ginger
101.35,52.78,66.77,18.82,78.73,6.74,71.72,Cabbage,Cabbage
114.1,58.98,52.43,31.39,67.36,7.65,95.07,Cotton,Other
107.33,56.09,48.44,28.42,53.12,7.07,51.27,Green Chilli,Green Chilly
38.29,53.18,39.59,23.79,66.67,6.16,69.01,Soyabean,Local
41.27,26.25,102.69,25.2,89.31,6.93,223.59,Coconut,Coconut
32.43,58.25,41.25,23.27,73.91,6.09,62.32,Soyabean,Local
23.74,47.42,31.77,26.63,54.12,6.86,59.59,Groundnut,Local
69.79,32.91,36.44,30.68,51.31,6.41,41.41,Bajra(Pearl Millet/Cumbu),Hybrid
97.04,50.16,41.45,28.35,69.32,7.11,73.01,Green Chilli,Green Chilly
114.48,40.14,53.52,28.64,74.94,5.65,210.38,Rice,Common
85.68,57.52,46.38,25.56,51.55,6.84,94.64,Green Chilli,Green Chilly
130.73,53.43,65.87,19.38,63.33,6.31,83.83,Cauliflower,Cauliflower
70.98,31.18,87.21,29.13,73.38,7.82,181.68,Coconut,Coconut
144.15,56.3,68.85,15.03,76.73,6.64,86.93,Cabbage,Cabbage
20.29,59.77,36.08,25.76,58.31,7.1,119.75,Soyabean,Local
116.43,53.95,69.42,18.19,63.37,6.92,75.07,Cabbage,Cabbage
204.04,141.76,243.97,27.97,69.11,6.73,159.49,Papaya,Papaya
136.71,67.91,59.87,18.59,64.77,6.02,55.76,Cabbage,Cabbage
79.54,44.17,36.48,23.79,70.97,6.18,132.67,Paddy(Basmati),Basmati
121.81,56.63,63.33,20.42,68.63,6.09,76.42,Cabbage,Cabbage
77.66,40.17,32.89,25.07,73.39,7.07,64.2,Bhindi(Ladies Finger),Bhindi
85.81,46.91,47.75,17.95,65.21,6.34,88.27,Garlic,Garlic
149.76,66.3,56.07,15.89,63.47,6.67,85.03,Cabbage,Cabbage
47.61,25.79,39.06,22.31,66.34,6.76,63.99,Coriander(Leaves),Coriander
64.04,27.23,118.84,33.96,75.03,6.26,224.42,Coconut,Coconut
119.8,56.79,110.87,18.66,61.99,7.04,118.71,Orange,Orange
61.46,23.0,111.87,34.95,81.33,7.15,166.6,Coconut,Coconut
77.04,43.79,34.64,28.38,61.5,7.11,97.9,Bhindi(Ladies Finger),Bhindi
223.41,71.78,264.24,25.06,86.57,6.46,195.31,Banana,Other
102.23,57.51,96.3,19.96,70.79,6.3,123.06,Orange,Orange
32.83,57.44,44.47,29.14,55.74,6.49,104.77,Soyabean,Local
32.95,52.63,30.86,28.17,63.37,6.44,81.57,Arhar Dal(Tur Dal),Arhar Dal(Tur)
60.07,49.23,47.76,26.96,63.83,6.46,69.16,Pumpkin,Pumpkin
119.86,54.57,105.04,15.42,79.34,7.33,135.07,Orange,Orange
95.56,53.48,89.74,21.25,77.54,6.44,161.65,Ginger(Green),Green Ginger
89.43,48.0,54.54,19.66,61.05,6.79,92.04,Onion,Local
218.44,65.15,258.64,26.8,91.46,7.16,244.06,Banana,Other
134.17,54.89,92.61,26.92,71.14,7.23,83.34,Orange,Orange
63.33,47.76,48.55,25.03,62.66,6.48,85.28,Pumpkin,Pumpkin
113.56,42.06,47.8,21.14,59.94,6.08,59.19,Onion,Local
61.81,38.4,41.02,21.11,61.07,7.74,60.02,Mustard,Mustard
103.04,41.27,48.24,16.76,69.22,7.47,69.97,Onion,Local
123.43,61.34,65.65,18.45,76.76,6.26,55.66,Cauliflower,Cauliflower
39.01,54.2,39.49,15.34,40.42,6.05,42.49,Bengal Gram(Gram)(Whole),Desi (Whole)
87.55,56.53,50.77,28.4,67.91,7.18,53.8,Green Chilli,Green Chilly
249.69,101.47,166.72,32.69,62.49,6.92,150.89,Papaya,Papaya
80.04,45.26,33.82,21.83,56.48,7.53,62.66,Mustard,Mustard
123.38,69.66,68.07,26.27,70.55,6.12,80.09,Maize,Hybrid/Local
113.55,58.31,47.25,27.29,86.48,6.63,200.3,Rice,Common
90.17,45.71,99.47,25.39,57.82,7.09,86.44,Grapes,Other
34.25,59.19,37.4,22.99,55.7,6.51,76.49,Groundnut,Local
16.08,44.54,16.28,34.89,75.14,7.47,49.72,Green Gram Dal(Moong Dal),Green Gram Dal
30.94,51.12,45.88,28.14,65.51,6.29,69.7,Groundnut,Local
29.04,47.94,25.15,26.04,52.48,6.48,66.45,Green Gram Dal(Moong Dal),Green Gram Dal
125.5,69.62,66.87,27.75,73.78,7.45,96.7,Maize,Hybrid/Local
19.55,39.33,20.22,30.04,65.11,7.49,69.93,Green Gram Dal(Moong Dal),Green Gram Dal
143.82,61.96,71.64,26.6,73.48,6.16,146.17,Tomato,Tomato
143.77,55.22,65.06,17.27,74.64,6.78,65.31,Cabbage,Cabbage
19.63,45.08,19.48,34.7,53.16,6.76,51.73,Green Gram Dal(Moong Dal),Green Gram Dal
25.12,50.08,24.22,23.67,49.55,6.47,36.46,Bengal Gram(Gram)(Whole),Desi (Whole)
19.65,45.77,18.3,32.73,79.73,6.1,53.8,Green Gram Dal(Moong Dal),Green Gram Dal
40.17,37.21,98.89,21.3,78.07,5.6,82.91,Apple,Apple
137.59,69.7,69.9,20.38,55.95,6.74,109.63,Maize,Hybrid/Local
112.78,66.89,52.49,26.48,67.11,7.27,80.75,Maize,Hybrid/Local
91.16,32.82,35.71,20.08,69.78,6.22,197.29,Paddy(Basmati),Basmati
112.27,46.05,41.61,26.49,63.75,6.89,99.99,Brinjal,Brinjal
22.37,57.25,46.38,29.33,55.38,7.31,119.05,Soyabean,Local
101.31,61.06,59.75,21.87,71.16,6.63,72.55,Cabbage,Cabbage
49.72,23.98,38.86,15.39,55.22,6.6,64.01,Coriander(Leaves),Coriander
86.12,41.23,52.7,28.81,61.36,6.28,101.78,Brinjal,Brinjal
24.45,40.87,44.77,22.97,54.4,6.27,58.43,Groundnut,Local
47.62,21.35,109.43,31.15,88.44,6.48,194.45,Coconut,Coconut
119.86,46.88,81.86,34.78,67.59,7.27,125.73,Mango(Raw-Ripe),Other
107.65,57.28,56.67,29.68,75.73,5.96,273.89,Rice,Common
210.47,75.91,256.2,33.24,91.99,6.9,247.66,Banana,Other
17.49,43.28,29.2,33.0,66.26,7.38,53.65,Green Gram Dal(Moong Dal),Green Gram Dal
68.43,39.37,37.53,25.65,72.88,5.86,179.73,Paddy(Basmati),Basmati
123.32,51.82,93.66,25.81,64.25,7.2,131.45,Turmeric(raw),Other
215.27,44.12,203.85,33.13,88.21,7.32,168.46,Banana,Other
23.85,40.66,33.96,20.73,64.09,6.18,91.87,Arhar Dal(Tur Dal),Arhar Dal(Tur)
35.85,57.2,34.99,22.85,52.26,7.3,61.24,Arhar Dal(Tur Dal),Arhar Dal(Tur)
79.36,28.77,72.31,17.79,74.99,6.49,106.06,Apple,Apple
112.09,43.44,105.9,26.44,79.85,7.4,164.08,Turmeric(raw),Other
118.81,53.98,83.99,20.27,61.17,5.6,153.31,Turmeric(raw),Other
79.81,37.31,46.8,18.56,65.33,6.57,58.05,Mustard,Mustard
140.55,58.57,98.59,29.62,68.43,6.82,185.9,Turmeric(raw),Other
98.45,38.9,66.87,16.6,62.39,6.08,55.11,Grapes,Other
108.83,55.91,53.67,21.35,67.1,6.24,85.97,Green Chilli,Green Chilly
135.52,50.82,57.88,30.42,72.58,7.21,67.93,Cotton,Other
41.63,31.4,94.82,26.16,81.69,5.87,231.08,Coconut,Coconut
17.32,31.05,24.15,26.56,63.97,6.34,54.39,Green Gram Dal(Moong Dal),Green Gram Dal
20.33,50.49,36.68,18.62,52.56,7.54,75.49,Bengal Gram(Gram)(Whole),Desi (Whole)
61.37,34.19,34.42,29.08,65.56,6.94,132.84,Paddy(Basmati),Basmati
117.45,60.26,66.61,23.2,82.57,7.11,68.43,Tomato,Tomato
105.72,40.74,40.93,21.08,68.46,7.35,56.49,Green Chilli,Green Chilly
145.74,101.37,110.39,20.11,65.53,5.68,74.55,Potato,Potato
85.7,59.67,89.69,29.67,61.03,5.73,145.81,Ginger(Green),Green Ginger
153.73,56.78,106.27,34.41,72.81,7.54,223.01,Sugarcane,Other
228.01,126.19,200.28,28.69,70.06,6.25,117.94,Papaya,Papaya
120.6,77.77,63.21,20.17,79.26,6.26,95.69,Tomato,Tomato
24.93,42.41,33.75,29.54,69.34,6.76,72.64,Groundnut,Local
101.41,55.99,53.52,17.75,50.83,6.45,76.3,Onion,Local
117.13,41.44,107.74,24.4,65.58,6.62,158.0,Turmeric(raw),Other
149.79,99.33,106.69,21.32,65.12,5.46,59.54,Potato,Potato
81.89,33.23,39.63,20.28,58.15,6.6,65.5,Mustard,Mustard
140.85,50.41,58.37,26.46,79.16,7.32,101.91,Cotton,Other
152.94,64.36,212.69,30.96,83.94,6.33,185.29,Banana,Other
97.66,55.02,81.04,23.18,65.9,6.41,195.11,Ginger(Green),Green Ginger
29.03,46.47,45.18,28.96,67.76,6.41,65.1,Groundnut,Local
134.17,59.85,59.83,19.78,65.36,6.21,98.33,Cauliflower,Cauliflower
115.8,58.9,101.74,28.06,67.63,6.29,170.61,Turmeric(raw),Other
203.05,122.57,227.03,29.89,69.7,6.3,165.32,Papaya,Papaya
148.68,76.75,69.8,22.0,73.53,6.2,67.86,Tomato,Tomato
39.11,47.11,28.24,19.29,55.6,6.65,63.72,Bengal Gram(Gram)(Whole),Desi (Whole)
23.1,50.27,23.2,29.72,65.11,7.44,83.79,Arhar Dal(Tur Dal),Arhar Dal(Tur)
136.85,62.15,65.64,15.99,62.58,6.79,90.12,Cabbage,Cabbage
40.56,21.06,87.12,17.81,76.32,5.94,95.32,Apple,Apple
98.68,35.7,40.23,25.94,75.81,6.75,59.96,Bhindi(Ladies Finger),Bhindi
27.29,33.39,16.52,30.68,51.77,6.27,77.44,Green Gram Dal(Moong Dal),Green Gram Dal
202.85,58.33,108.01,23.99,62.75,7.28,175.91,Sugarcane,Other
99.43,54.57,51.59,27.04,79.28,6.74,68.3,Brinjal,Brinjal
85.57,40.52,46.15,19.23,62.39,6.74,55.43,Garlic,Garlic
68.52,46.82,36.14,17.48,59.45,7.03,58.89,Mustard,Mustard
66.56,51.55,43.84,17.07,60.76,7.31,80.14,Garlic,Garlic
166.36,63.7,92.42,32.92,67.08,7.96,214.78,Sugarcane,Other
92.24,59.86,42.02,20.3,52.27,6.87,81.32,Garlic,Garlic
146.03,57.76,84.6,27.25,74.84,6.68,188.18,Turmeric(raw),Other
93.57,47.26,59.9,28.98,77.46,6.33,96.25,Brinjal,Brinjal
205.74,144.49,215.15,32.29,66.02,7.04,189.09,Papaya,Papaya
133.99,61.97,77.92,23.66,65.06,7.17,107.78,Tomato,Tomato
141.3,42.56,111.89,15.01,62.23,6.38,138.71,Orange,Orange
120.67,41.31,115.07,26.44,60.6,6.72,142.61,Orange,Orange
69.32,34.03,96.18,16.62,53.15,6.39,59.25,Grapes,Other
32.39,50.05,25.57,19.0,53.56,6.87,45.74,Bengal Gram(Gram)(Whole),Desi (Whole)
180.8,65.03,224.12,34.05,86.17,7.3,212.08,Banana,Other
96.47,53.99,56.66,20.08,69.49,7.24,78.84,Wheat,Local
125.46,110.58,101.55,19.55,64.26,5.14,80.61,Potato,Potato
55.3,37.6,102.82,32.02,88.69,6.27,231.85,Coconut,Coconut
58.41,27.18,35.97,20.75,53.13,6.17,65.65,Coriander(Leaves),Coriander
136.54,58.6,63.79,15.0,63.28,6.54,81.08,Cauliflower,Cauliflower
118.4,53.73,43.52,23.38,63.14,7.12,64.84,Onion,Local
75.63,34.02,70.72,23.11,65.36,6.02,88.88,Grapes,Other
172.65,58.2,248.35,26.47,79.74,7.1,152.16,Banana,Other
108.28,48.31,58.92,20.39,56.51,6.66,86.12,Green Chilli,Green Chilly
26.49,60.4,44.88,25.1,65.38,6.62,108.84,Soyabean,Local
56.98,28.5,28.0,19.77,50.44,7.08,62.83,Coriander(Leaves),Coriander
81.12,48.58,94.1,25.28,65.43,6.31,176.4,Ginger(Green),Green Ginger
21.24,46.62,29.06,24.09,45.88,6.43,70.14,Bengal Gram(Gram)(Whole),Desi (Whole)
82.61,43.85,94.74,22.43,64.79,5.55,181.42,Ginger(Green),Green Ginger
40.99,30.88,115.55,32.7,83.79,5.99,242.26,Coconut,Coconut
100.36,55.71,102.37,22.51,79.34,7.07,88.84,Orange,Orange
84.22,55.8,54.03,20.82,55.6,6.14,54.78,Wheat,Local
87.09,32.51,41.41,30.98,64.14,6.49,83.74,Bhindi(Ladies Finger),Bhindi
76.06,38.22,113.95,32.87,89.93,5.62,221.92,Coconut,Coconut
119.51,50.6,40.63,22.07,69.78,7.21,77.18,Onion,Local
208.99,61.05,240.66,27.49,86.0,6.74,163.09,Banana,Other
214.87,62.96,251.49,25.42,86.9,6.6,232.1,Banana,Other
166.3,105.12,196.38,33.08,78.37,6.29,115.43,Papaya,Papaya
100.68,50.13,55.71,25.53,67.23,7.8,76.87,Cotton,Other
93.67,44.89,85.24,24.34,57.02,6.69,97.7,Mango(Raw-Ripe),Other
97.44,51.57,43.6,27.68,66.97,6.36,54.96,Green Chilli,Green Chilly
77.69,22.96,86.03,17.18,61.83,6.46,90.05,Apple,Apple
96.34,45.75,39.43,25.42,66.8,7.03,62.16,Bhindi(Ladies Finger),Bhindi
57.56,36.95,36.9,23.38,50.82,6.54,79.91,Coriander(Leaves),Coriander
49.05,23.31,32.09,26.92,58.49,7.9,53.31,Bajra(Pearl Millet/Cumbu),Hybrid
91.93,33.5,31.34,23.49,70.76,6.91,156.97,Paddy(Basmati),Basmati
61.13,43.63,41.16,27.13,77.33,6.68,71.12,Bhindi(Ladies Finger),Bhindi
217.43,64.9,84.48,23.87,72.15,6.94,181.93,Sugarcane,Other
85.84,40.47,48.37,21.55,58.64,6.09,59.65,Onion,Local
23.14,58.43,40.79,27.18,50.95,6.49,67.44,Groundnut,Local
24.68,56.93,34.08,16.49,45.75,6.67,48.02,Bengal Gram(Gram)(Whole),Desi (Whole)
30.96,43.53,35.45,18.72,45.81,7.05,76.75,Bengal Gram(Gram)(Whole),Desi (Whole)
92.82,40.33,51.25,24.18,56.4,7.44,84.92,Green Chilli,Green Chilly
33.33,41.62,48.71,25.94,52.69,7.13,73.74,Groundnut,Local
36.15,52.7,33.01,17.0,58.38,6.34,57.72,Bengal Gram(Gram)(Whole),Desi (Whole)
146.16,64.66,60.59,21.6,64.82,6.87,86.82,Cauliflower,Cauliflower
115.69,46.41,40.37,25.5,56.48,6.18,68.72,Green Chilli,Green Chilly
39.74,46.54,38.97,23.3,42.7,7.37,48.3,Bengal Gram(Gram)(Whole),Desi (Whole)
137.79,57.04,83.4,26.71,77.88,7.27,87.99,Orange,Orange
52.39,26.5,32.84,15.49,63.28,6.34,46.23,Coriander(Leaves),Coriander
66.76,41.39,81.44,23.87,50.7,7.42,70.85,Grapes,Other
93.52,46.49,57.25,23.79,61.94,6.24,70.32,Onion,Local
115.19,53.99,59.29,16.54,60.57,7.24,68.84,Cabbage,Cabbage
62.42,47.35,56.46,21.63,59.19,6.02,73.63,Pumpkin,Pumpkin
151.95,102.26,111.23,17.18,77.97,5.71,63.38,Potato,Potato
119.17,69.1,68.7,18.06,68.62,6.32,71.28,Tomato,Tomato
106.58,57.4,66.48,21.95,64.22,6.33,91.23,Cabbage,Cabbage
31.51,54.36,24.57,24.5,46.11,7.28,38.31,Bengal Gram(Gram)(Whole),Desi (Whole)
34.07,51.06,43.47,28.0,69.48,6.26,75.2,Groundnut,Local
86.48,52.76,50.58,26.1,76.37,6.54,108.71,Brinjal,Brinjal
45.27,20.45,96.57,34.01,87.39,7.98,189.2,Coconut,Coconut
107.75,67.42,51.69,20.02,75.68,7.19,84.38,Cauliflower,Cauliflower
95.89,34.78,48.23,27.87,68.97,6.42,55.67,Bhindi(Ladies Finger),Bhindi
104.92,50.44,51.92,17.41,76.12,6.42,73.84,Cabbage,Cabbage
44.61,20.38,25.1,30.65,58.11,6.58,31.24,Bajra(Pearl Millet/Cumbu),Hybrid
85.78,41.31,42.82,25.81,76.43,6.51,127.07,Paddy(Basmati),Basmati
141.55,58.18,59.73,20.45,76.41,6.74,59.53,Cabbage,Cabbage
132.89,59.42,91.37,21.85,64.38,7.34,169.82,Turmeric(raw),Other
147.65,64.49,57.59,21.76,74.41,6.79,70.66,Maize,Hybrid/Local
91.84,43.77,40.71,24.68,78.52,6.07,61.04,Brinjal,Brinjal
106.19,40.32,57.05,25.73,51.68,6.98,98.44,Green Chilli,Green Chilly
107.77,44.77,52.3,26.31,74.09,7.03,78.21,Cotton,Other
27.68,53.43,38.78,20.84,60.64,6.78,69.48,Soyabean,Local
140.76,43.42,52.12,28.26,57.95,6.65,90.58,Cotton,Other
118.81,43.19,91.71,28.95,62.92,6.27,179.86,Ginger(Green),Green Ginger
138.53,68.81,56.05,21.34,75.98,6.33,57.01,Cabbage,Cabbage
80.99,48.26,48.57,26.68,70.86,6.06,61.32,Bhindi(Ladies Finger),Bhindi
111.19,50.43,89.5,15.68,61.39,6.81,117.05,Orange,Orange
116.12,51.51,52.78,26.72,61.74,6.82,98.48,Brinjal,Brinjal
75.92,45.47,77.73,19.69,65.87,6.25,82.59,Grapes,Other
88.92,52.95,92.39,26.98,51.12,5.75,105.66,Mango(Raw-Ripe),Other
67.53,51.98,57.21,26.74,54.93,7.27,80.34,Pumpkin,Pumpkin
80.58,51.08,40.91,21.62,69.93,6.35,75.75,Garlic,Garlic
29.31,41.9,20.64,28.32,54.17,6.75,75.41,Green Gram Dal(Moong Dal),Green Gram Dal
135.77,53.69,62.05,16.05,72.43,6.53,53.46,Cauliflower,Cauliflower
108.33,44.8,52.77,20.45,55.98,6.68,90.08,Onion,Local
78.64,41.44,30.27,19.64,68.89,7.1,49.13,Mustard,Mustard
136.45,63.03,68.21,26.89,83.89,6.2,145.53,Tomato,Tomato
133.32,51.3,50.94,20.95,72.65,7.4,56.86,Cabbage,Cabbage
22.07,32.61,26.28,31.16,61.66,7.15,74.86,Green Gram Dal(Moong Dal),Green Gram Dal
51.57,29.01,91.11,32.19,83.2,6.46,162.09,Coconut,Coconut
143.15,45.61,40.03,28.26,60.71,6.95,95.26,Cotton,Other
114.45,56.12,96.18,27.95,69.43,7.32,108.91,Orange,Orange
34.68,54.27,35.98,18.69,53.98,7.87,77.46,Bengal Gram(Gram)(Whole),Desi (Whole)
71.39,35.32,80.63,25.1,89.3,6.24,182.43,Coconut,Coconut
89.24,40.01,50.26,30.04,77.81,5.94,214.26,Rice,Common
32.25,55.16,48.95,27.07,53.57,6.94,80.88,Groundnut,Local
128.65,50.65,59.96,31.38,57.11,6.33,106.86,Cotton,Other
86.95,55.16,50.1,23.85,67.26,6.41,75.01,Garlic,Garlic
117.1,60.82,53.41,16.63,74.22,6.25,87.26,Cabbage,Cabbage
92.38,57.78,53.65,23.38,65.67,7.25,89.48,Garlic,Garlic
71.96,32.38,43.68,18.56,62.12,7.72,55.49,Mustard,Mustard
104.63,57.83,52.15,20.59,62.43,7.95,72.22,Wheat,Local
86.5,43.68,44.48,22.01,74.54,6.9,260.78,Rice,Common
72.94,33.13,29.78,28.56,40.37,6.24,38.98,Bajra(Pearl Millet/Cumbu),Hybrid
35.27,58.61,30.7,20.4,41.69,7.23,58.96,Bengal Gram(Gram)(Whole),Desi (Whole)
189.72,102.01,166.22,28.39,79.41,6.82,116.77,Papaya,Papaya
40.04,32.02,70.64,18.79,66.43,5.96,100.25,Apple,Apple
122.55,52.83,105.27,26.22,62.08,7.26,136.7,Orange,Orange
49.72,21.98,107.69,27.61,85.76,6.96,226.9,Coconut,Coconut
196.03,108.24,247.31,26.34,63.91,6.78,170.63,Papaya,Papaya
30.26,40.59,37.35,26.23,63.12,6.5,88.5,Arhar Dal(Tur Dal),Arhar Dal(Tur)
117.63,40.36,94.61,24.7,64.62,6.04,109.83,Orange,Orange
93.56,53.0,44.67,29.17,53.15,7.22,71.77,Pumpkin,Pumpkin
94.17,47.86,41.75,16.26,69.49,6.91,77.77,Onion,Local
82.2,44.93,31.05,23.74,76.38,5.99,172.87,Paddy(Basmati),Basmati
137.37,64.21,54.55,24.38,74.85,7.39,106.9,Maize,Hybrid/Local
51.65,38.26,36.44,28.65,59.24,7.72,49.64,Bajra(Pearl Millet/Cumbu),Hybrid
63.37,37.75,35.39,22.48,82.62,5.83,162.22,Paddy(Basmati),Basmati
39.21,54.78,47.66,22.75,67.92,7.21,84.18,Groundnut,Local
117.4,42.07,52.62,20.64,58.12,6.29,99.21,Green Chilli,Green Chilly
32.05,58.45,36.85,29.61,66.1,7.33,61.54,Soyabean,Local
168.19,50.98,236.0,26.26,76.98,6.39,157.84,Banana,Other
82.06,38.1,98.91,25.66,56.69,7.41,55.39,Grapes,Other
77.26,48.69,83.75,21.16,65.38,6.49,96.96,Grapes,Other
133.95,48.67,43.86,30.77,57.21,7.43,95.76,Cotton,Other
200.97,48.63,289.29,29.53,88.87,7.43,171.74,Banana,Other
117.51,53.45,63.69,23.44,74.72,5.97,108.12,Maize,Hybrid/Local
101.58,54.76,103.01,29.52,69.12,7.49,90.3,Mango(Raw-Ripe),Other
28.13,37.92,28.86,29.78,79.1,6.22,57.27,Green Gram Dal(Moong Dal),Green Gram Dal
61.94,34.26,40.58,25.33,80.3,6.65,140.05,Paddy(Basmati),Basmati
