previous_crop,soil_pH,soil_type,temperature,humidity,rainfall,season,recommended_next_crop
Coriander,6.07,clay,28.96,82.26,64.54,Kharif,Maize
Green Chilli,6.8,sandy_loam,17.66,82.75,58.32,Rabi,Gram
Maize,6.13,clay,19.47,66.6,75.45,Rabi,Mustard
Brinjal,6.75,silt_clay,16.3,76.69,42.73,Rabi,Mustard
Potato,5.71,silt_clay,31.24,61.89,150.29,Kharif,Maize
Mango,6.91,sandy_loam,20.17,56.82,64.44,Rabi,Wheat
Onion,7.02,sandy_loam,27.27,82.52,103.05,Kharif,Cotton
Potato,6.43,sandy,31.31,62.65,139.69,Kharif,Maize
Rice,5.91,loamy,26.72,71.63,153.72,Rabi,Groundnut
Brinjal,6.35,loamy,16.92,72.86,42.15,Rabi,Wheat
Groundnut,7.49,loamy,24.81,71.48,71.74,Rabi,Gram
Bhindi,6.01,sandy_loam,17.55,80.95,44.5,Rabi,Gram
Brinjal,6.73,sandy,18.67,69.08,60.65,Rabi,Wheat
Turmeric,7.5,loamy,21.26,56.44,62.5,Rabi,Mustard
Green Chilli,7.41,sandy,23.38,80.91,58.65,Rabi,Gram
Brinjal,6.19,silt_clay,20.85,75.8,40.15,Rabi,Wheat
Gram,7.1,silt_clay,26.32,60.58,189.51,Kharif,Cotton
Mango,6.23,sandy,20.7,62.48,70.97,Rabi,Wheat
Green Chilli,6.46,sandy_loam,23.87,75.62,62.44,Rabi,Wheat
Gram,7.61,sandy,25.15,60.94,158.81,Kharif,Rice
Onion,6.72,sandy_loam,25.75,81.35,108.16,Kharif,Cotton
Mustard,6.21,sandy,34.07,55.91,196.83,Kharif,Maize
Coriander,7.0,silt_clay,29.36,71.33,100.56,Kharif,Maize
Sugarcane,6.37,loamy,21.46,51.6,77.84,Rabi,Gram
Gram,7.67,sandy,34.97,55.38,186.3,Kharif,Rice
Green Chilli,7.29,clay,22.0,73.58,55.48,Rabi,Wheat
Sugarcane,6.01,clay,15.71,70.09,62.64,Rabi,Gram
Papaya,7.36,silt_clay,22.67,84.67,42.16,Rabi,Mustard
Wheat,7.66,loamy,29.94,84.28,64.5,Kharif,Groundnut
Papaya,6.91,sandy_loam,21.56,82.34,46.44,Rabi,Gram
Turmeric,7.1,sandy_loam,15.34,78.37,45.16,Rabi,Gram
Potato,5.56,loamy,29.99,68.29,155.0,Kharif,Maize
Papaya,6.8,silt_clay,15.1,57.16,71.05,Rabi,Mustard
Garlic,7.13,sandy_loam,29.29,81.41,77.31,Kharif,Cotton
Sugarcane,6.47,clay,23.12,83.1,52.52,Rabi,Mustard
Coconut,6.36,sandy,25.84,54.59,237.07,Kharif,Maize
Bhindi,6.84,silt_clay,20.62,73.11,73.34,Rabi,Gram
Maize,6.43,loamy,19.49,55.57,50.81,Rabi,Wheat
Mustard,6.77,sandy,33.43,72.55,165.07,Kharif,Cotton
Gram,6.51,silt_clay,25.98,68.44,105.71,Kharif,Rice
Coconut,6.22,silt_clay,26.98,63.88,243.84,Kharif,Rice
Green Chilli,6.68,sandy,20.0,64.78,46.87,Rabi,Wheat
Gram,7.17,loamy,29.97,73.36,101.28,Kharif,Rice
Ginger,6.05,loamy,17.05,82.06,76.93,Rabi,Wheat
Cotton,6.11,sandy_loam,20.85,61.81,72.11,Rabi,Mustard
Mango,6.2,sandy_loam,19.44,58.36,50.51,Rabi,Gram
Sugarcane,7.25,clay,16.69,51.88,68.7,Rabi,Mustard
Cotton,6.16,sandy_loam,17.71,52.84,79.7,Rabi,Wheat
Papaya,7.07,sandy,17.81,68.3,54.0,Rabi,Gram
Ginger,6.1,sandy,18.74,54.72,68.3,Rabi,Mustard
Green Chilli,7.06,clay,24.31,75.8,62.58,Rabi,Wheat
Tomato,7.03,sandy,22.22,56.67,72.11,Rabi,Wheat
Cotton,6.97,loamy,18.08,70.06,53.01,Rabi,Mustard
Potato,6.45,sandy,28.88,61.3,154.55,Kharif,Rice
Onion,6.4,sandy_loam,30.73,82.4,98.72,Kharif,Cotton
Papaya,6.58,clay,22.68,57.28,55.37,Rabi,Gram
Tomato,6.71,loamy,22.42,63.53,66.51,Rabi,Onion
Mustard,6.74,silt_clay,33.11,64.01,194.72,Kharif,Maize
Mango,6.71,silt_clay,20.22,54.75,48.1,Rabi,Gram
Wheat,6.45,loamy,28.76,69.25,88.87,Kharif,Maize
Coriander,6.2,sandy_loam,26.49,66.95,67.98,Kharif,Maize
Mango,6.34,loamy,20.95,79.42,41.18,Rabi,Gram
Turmeric,5.65,sandy_loam,24.62,64.77,70.6,Rabi,Gram
Maize,6.14,sandy_loam,22.01,73.8,64.49,Rabi,Mustard
Ginger,5.91,silt_clay,18.25,68.68,66.13,Rabi,Mustard
Mango,6.92,sandy,20.04,78.15,62.0,Rabi,Gram
Onion,6.68,sandy_loam,30.81,77.06,79.96,Kharif,Cotton
Coconut,7.46,sandy,23.69,67.48,222.53,Kharif,Rice
Coriander,7.12,clay,31.6,72.08,85.09,Kharif,Cotton
Rice,6.94,silt_clay,20.11,54.79,235.0,Rabi,Gram
Turmeric,7.06,clay,16.85,55.53,68.54,Rabi,Mustard
Papaya,6.93,sandy_loam,22.59,70.96,78.44,Rabi,Gram
Onion,6.15,clay,31.58,80.91,94.62,Kharif,Maize
Papaya,6.09,silt_clay,19.6,74.05,65.84,Rabi,Mustard
Cotton,6.83,sandy,23.82,54.25,65.39,Rabi,Mustard
Brinjal,7.32,clay,18.46,61.87,62.63,Rabi,Mustard
Rice,5.99,clay,23.23,68.16,205.45,Rabi,Wheat
Cotton,6.79,loamy,23.53,82.83,43.4,Rabi,Mustard
Bhindi,7.47,loamy,18.78,50.89,69.09,Rabi,Gram
Groundnut,7.33,loamy,20.65,73.44,78.46,Rabi,Gram
Rice,5.94,sandy,27.64,54.9,230.27,Rabi,Groundnut
Coconut,6.52,silt_clay,23.47,52.76,239.69,Kharif,Maize
Wheat,6.22,sandy_loam,31.46,67.48,76.6,Kharif,Cotton
Wheat,7.56,loamy,34.76,73.36,51.04,Kharif,Gram
Potato,6.93,loamy,30.12,73.77,160.69,Kharif,Rice
Mustard,6.5,sandy,29.17,55.05,109.36,Kharif,Maize
Maize,5.91,clay,20.49,72.12,74.62,Rabi,Gram
Cotton,7.65,silt_clay,21.58,50.28,77.73,Rabi,Gram
Papaya,6.09,sandy,23.57,69.32,41.87,Rabi,Mustard
Sugarcane,7.2,sandy_loam,22.01,64.38,60.19,Rabi,Gram
Gram,6.71,silt_clay,30.03,61.06,172.92,Kharif,Cotton
Coconut,5.71,sandy,29.31,56.05,210.38,Kharif,Rice
Groundnut,7.28,loamy,21.31,65.74,47.55,Rabi,Wheat
Onion,7.49,loamy,30.76,82.38,68.81,Kharif,Maize
Brinjal,6.35,silt_clay,20.33,72.32,52.15,Rabi,Wheat
Groundnut,6.94,silt_clay,15.7,72.09,78.13,Rabi,Gram
Banana,6.38,sandy_loam,19.56,51.36,41.39,Rabi,Mustard
Groundnut,6.37,sandy,17.57,50.73,48.92,Rabi,Wheat
Tomato,7.3,silt_clay,23.64,77.35,96.54,Rabi,Onion
Brinjal,6.15,sandy_loam,19.46,52.4,46.74,Rabi,Mustard
Turmeric,6.55,silt_clay,16.53,72.06,40.57,Rabi,Mustard
Garlic,6.02,clay,29.23,68.38,93.21,Kharif,Maize
Groundnut,6.45,sandy_loam,20.81,75.0,76.67,Rabi,Gram
Banana,6.27,loamy,23.0,67.69,55.09,Rabi,Mustard
Turmeric,6.08,loamy,16.22,59.3,73.44,Rabi,Gram
Mango,6.32,loamy,24.92,50.03,47.89,Rabi,Gram
Brinjal,7.13,sandy,16.97,72.49,58.32,Rabi,Mustard
Rice,5.55,clay,28.01,73.7,186.01,Rabi,Wheat
Tomato,6.09,sandy,20.94,55.19,69.94,Rabi,Wheat
Wheat,6.17,clay,34.81,72.11,75.98,Kharif,Gram
Mango,6.94,sandy_loam,19.69,78.31,76.91,Rabi,Gram
Groundnut,7.16,loamy,15.95,75.49,52.97,Rabi,Gram
Mango,6.22,sandy,15.19,63.71,42.99,Rabi,Wheat
Bhindi,6.88,sandy,19.12,71.03,46.41,Rabi,Mustard
Rice,7.24,silt_clay,29.63,50.43,245.48,Rabi,Wheat
Coriander,7.19,clay,34.17,76.43,99.32,Kharif,Maize
Banana,7.38,clay,18.96,84.89,69.31,Rabi,Gram
Coconut,6.93,loamy,23.05,68.3,207.26,Kharif,Rice
Gram,7.4,loamy,33.18,51.34,187.08,Kharif,Rice
Potato,6.19,silt_clay,25.08,80.96,167.62,Kharif,Maize
Garlic,6.74,sandy_loam,30.59,73.43,61.6,Kharif,Cotton
Gram,7.97,silt_clay,29.44,58.97,119.04,Kharif,Cotton
Ginger,6.2,sandy_loam,24.68,59.71,68.41,Rabi,Wheat
Coriander,6.83,clay,30.11,52.04,93.8,Kharif,Maize
Onion,7.29,sandy_loam,30.7,61.71,60.53,Kharif,Cotton
Wheat,7.2,silt_clay,32.33,78.71,81.32,Kharif,Maize
Groundnut,6.82,sandy,19.36,57.85,55.55,Rabi,Gram
Gram,6.39,sandy,27.34,59.44,165.48,Kharif,Rice
Banana,6.08,silt_clay,18.2,66.13,49.18,Rabi,Mustard
Potato,6.17,clay,24.87,77.35,115.16,Kharif,Rice
Banana,6.68,clay,23.68,68.52,54.58,Rabi,Mustard
Mustard,7.82,silt_clay,34.96,66.81,148.59,Kharif,Maize
Green Chilli,7.44,sandy,20.32,81.45,79.91,Rabi,Wheat
Bhindi,7.38,clay,18.29,54.91,54.85,Rabi,Mustard
Sugarcane,6.95,clay,21.97,52.91,74.52,Rabi,Mustard
Wheat,6.05,sandy,26.09,55.21,102.66,Kharif,Groundnut
Gram,6.71,loamy,31.72,67.8,172.11,Kharif,Rice
Sugarcane,7.61,sandy_loam,21.06,67.63,75.14,Rabi,Mustard
Turmeric,6.11,sandy,19.7,84.3,47.81,Rabi,Mustard
Coconut,6.79,clay,22.96,52.44,166.03,Kharif,Rice
Onion,6.31,clay,27.31,76.02,91.92,Kharif,Maize
Cotton,6.51,loamy,22.31,74.4,70.11,Rabi,Gram
Garlic,7.34,clay,31.57,76.06,87.24,Kharif,Maize
Groundnut,7.31,silt_clay,21.77,68.29,71.28,Rabi,Wheat
Bhindi,6.97,silt_clay,21.67,82.55,67.49,Rabi,Gram
Maize,7.35,sandy_loam,23.69,52.26,97.35,Rabi,Mustard
Ginger,6.04,sandy,20.02,83.29,60.2,Rabi,Mustard
Mango,7.08,clay,21.26,74.45,54.92,Rabi,Gram
Garlic,6.5,loamy,27.04,83.1,65.05,Kharif,Maize
Sugarcane,7.82,silt_clay,22.35,50.84,63.39,Rabi,Gram
Maize,6.17,silt_clay,22.54,51.26,63.68,Rabi,Wheat
Papaya,6.61,silt_clay,22.13,67.89,46.41,Rabi,Gram
Groundnut,6.26,clay,16.05,56.46,53.64,Rabi,Wheat
Maize,6.26,loamy,18.71,81.57,88.4,Rabi,Wheat
Maize,7.26,loamy,22.27,69.67,96.83,Rabi,Mustard
Onion,6.02,sandy_loam,26.63,84.84,67.13,Kharif,Maize
Brinjal,6.65,loamy,17.33,82.94,63.55,Rabi,Wheat
Wheat,7.24,sandy_loam,26.59,80.83,137.18,Kharif,Groundnut
Coconut,6.69,clay,31.27,52.27,161.32,Kharif,Rice
Tomato,6.79,sandy_loam,18.22,71.36,96.96,Rabi,Wheat
Mustard,6.25,silt_clay,32.02,73.06,198.91,Kharif,Maize
Wheat,6.79,sandy,29.91,84.87,139.74,Kharif,Groundnut
Bhindi,7.14,sandy_loam,17.39,54.15,74.83,Rabi,Gram
Coriander,6.54,silt_clay,34.73,57.76,99.83,Kharif,Cotton
Onion,6.7,clay,31.5,52.56,82.69,Kharif,Maize
Turmeric,5.56,loamy,16.47,76.82,41.39,Rabi,Mustard
Bhindi,7.33,sandy,18.39,56.88,74.43,Rabi,Mustard
Tomato,6.64,loamy,17.64,50.42,75.95,Rabi,Garlic
Sugarcane,6.23,sandy,20.05,76.91,42.48,Rabi,Gram
Gram,6.02,clay,28.43,54.84,143.95,Kharif,Rice
Maize,6.48,clay,24.55,67.31,70.76,Rabi,Wheat
Coconut,6.08,silt_clay,24.34,78.28,188.7,Kharif,Rice
Bhindi,6.38,sandy,18.9,63.35,50.51,Rabi,Mustard
Onion,6.81,sandy,27.92,59.9,74.3,Kharif,Cotton
Coriander,6.49,loamy,27.02,83.94,85.66,Kharif,Maize
Coconut,5.59,sandy,26.36,83.21,185.7,Kharif,Rice
Cotton,6.26,sandy_loam,23.92,79.72,56.24,Rabi,Wheat
Coriander,7.36,loamy,27.45,58.93,65.69,Kharif,Maize
Coconut,5.71,loamy,29.39,83.64,161.65,Kharif,Maize
Rice,6.25,silt_clay,21.83,77.29,189.53,Rabi,Gram
Garlic,7.41,silt_clay,32.93,70.86,90.84,Kharif,Maize
Coriander,7.24,sandy,26.86,60.37,68.17,Kharif,Cotton
Green Chilli,7.18,clay,15.49,73.65,71.47,Rabi,Wheat
Tomato,6.05,sandy_loam,21.55,74.83,79.31,Rabi,Wheat
Bhindi,6.17,sandy_loam,24.35,55.44,41.36,Rabi,Mustard
Wheat,7.32,sandy_loam,30.97,77.43,98.09,Kharif,Groundnut
Onion,6.91,silt_clay,31.37,58.2,94.74,Kharif,Maize
Potato,6.95,sandy,31.04,56.93,102.58,Kharif,Maize
Groundnut,6.66,loamy,17.48,78.26,70.52,Rabi,Wheat
Turmeric,6.54,clay,22.43,51.51,73.26,Rabi,Gram
Green Chilli,6.34,loamy,21.47,58.62,55.79,Rabi,Wheat
Mango,6.42,loamy,24.12,78.89,58.02,Rabi,Wheat
Coconut,5.72,sandy,30.07,65.06,220.09,Kharif,Maize
Tomato,7.33,sandy,23.27,64.88,63.77,Rabi,Garlic
Coconut,7.44,sandy,30.59,60.82,203.15,Kharif,Rice
Brinjal,7.2,silt_clay,21.57,79.3,54.93,Rabi,Wheat
Tomato,7.21,loamy,15.26,59.14,76.9,Rabi,Wheat
Brinjal,6.77,sandy,15.94,71.74,76.67,Rabi,Mustard
Groundnut,6.66,silt_clay,23.25,54.41,76.12,Rabi,Gram
Coconut,6.65,clay,25.36,57.36,161.01,Kharif,Rice
Wheat,7.34,sandy,32.62,77.92,93.56,Kharif,Groundnut
Sugarcane,7.23,sandy_loam,17.31,64.15,79.73,Rabi,Gram
Green Chilli,6.45,clay,18.25,77.95,48.43,Rabi,Gram
Tomato,7.03,sandy_loam,17.62,76.59,88.68,Rabi,Onion
Potato,6.01,loamy,23.86,82.71,197.68,Kharif,Maize
Brinjal,7.22,loamy,17.82,79.43,42.01,Rabi,Mustard
Groundnut,6.62,sandy,20.57,79.92,77.18,Rabi,Wheat
Banana,6.11,sandy_loam,15.63,59.37,62.88,Rabi,Mustard
Bhindi,6.67,loamy,15.34,64.15,71.39,Rabi,Mustard
Turmeric,7.32,loamy,16.65,84.91,55.69,Rabi,Mustard
Bhindi,7.13,clay,16.0,69.66,56.46,Rabi,Mustard
Potato,6.37,loamy,27.08,78.36,183.91,Kharif,Maize
Rice,5.73,sandy_loam,25.37,82.19,151.95,Rabi,Gram
Coriander,6.62,loamy,34.46,68.81,60.42,Kharif,Maize
Sugarcane,6.97,silt_clay,15.52,65.76,50.19,Rabi,Mustard
Groundnut,7.43,sandy,21.52,75.45,40.03,Rabi,Gram
Groundnut,7.42,clay,24.38,55.36,40.39,Rabi,Wheat
Groundnut,7.35,sandy,15.75,67.86,78.78,Rabi,Gram
Brinjal,6.52,silt_clay,15.99,70.01,43.83,Rabi,Mustard
Turmeric,6.2,sandy_loam,17.27,61.64,41.26,Rabi,Mustard
Coriander,6.89,sandy_loam,34.0,77.56,64.44,Kharif,Maize
Banana,6.47,loamy,22.49,71.5,56.93,Rabi,Mustard
Potato,6.63,sandy,22.66,71.78,158.52,Kharif,Maize
Onion,7.41,sandy_loam,25.96,73.06,98.83,Kharif,Maize
Coriander,6.45,sandy_loam,28.97,58.61,73.57,Kharif,Maize
Garlic,7.23,sandy,31.96,53.87,86.47,Kharif,Cotton
Ginger,6.38,clay,21.09,61.96,53.18,Rabi,Wheat
Cotton,7.33,sandy,22.17,79.96,54.27,Rabi,Mustard
Garlic,7.13,sandy_loam,29.0,54.56,80.99,Kharif,Maize
Cotton,7.74,clay,24.29,61.97,61.11,Rabi,Mustard
Turmeric,7.34,sandy,23.98,61.11,78.5,Rabi,Mustard
Sugarcane,7.1,sandy_loam,23.57,82.86,59.69,Rabi,Gram
Garlic,7.29,silt_clay,34.21,65.46,104.57,Kharif,Maize
Potato,6.28,silt_clay,25.11,54.24,186.47,Kharif,Rice
Banana,7.4,silt_clay,17.24,73.58,75.79,Rabi,Mustard
Wheat,7.89,sandy_loam,33.02,61.88,131.48,Kharif,Groundnut
Turmeric,5.59,silt_clay,19.87,74.43,55.83,Rabi,Gram
Sugarcane,6.04,sandy,20.83,66.25,64.77,Rabi,Gram
Tomato,6.61,clay,23.09,78.01,72.85,Rabi,Wheat
Mustard,6.42,silt_clay,32.18,70.35,194.78,Kharif,Maize
Wheat,6.63,loamy,30.85,74.09,89.74,Kharif,Maize
Cotton,7.48,sandy_loam,19.83,79.34,54.46,Rabi,Mustard
Brinjal,6.19,sandy,17.12,57.29,45.02,Rabi,Mustard
Tomato,6.94,sandy_loam,24.52,77.68,68.7,Rabi,Onion
Brinjal,6.97,sandy,15.63,64.85,40.62,Rabi,Wheat
Brinjal,7.02,loamy,22.74,68.5,77.12,Rabi,Mustard
Mango,7.0,clay,18.55,51.61,79.47,Rabi,Gram
Brinjal,6.09,sandy,18.88,63.43,40.63,Rabi,Wheat
Cotton,7.95,sandy,20.55,76.17,72.41,Rabi,Gram
Maize,7.12,sandy,23.25,68.05,67.8,Rabi,Mustard
Coriander,6.99,sandy,30.32,68.07,61.16,Kharif,Cotton
Brinjal,6.07,silt_clay,15.79,64.92,77.83,Rabi,Wheat
Mango,6.58,sandy_loam,18.53,69.15,61.32,Rabi,Wheat
Wheat,6.14,loamy,27.47,80.48,94.53,Kharif,Gram
Banana,7.39,loamy,20.62,69.11,78.31,Rabi,Mustard
Brinjal,6.21,clay,15.01,79.86,68.6,Rabi,Wheat
Sugarcane,7.24,sandy,21.67,67.88,57.15,Rabi,Gram
Cotton,6.14,silt_clay,19.08,81.0,48.88,Rabi,Wheat
Mustard,7.97,loamy,26.04,69.91,153.15,Kharif,Maize
Coriander,6.06,clay,30.47,76.73,94.53,Kharif,Maize
Mustard,7.57,clay,31.39,54.94,192.06,Kharif,Rice
Wheat,7.76,sandy,26.29,61.73,124.35,Kharif,Groundnut
Coconut,6.06,sandy_loam,24.31,76.93,163.54,Kharif,Rice
Maize,7.31,sandy,20.86,71.87,44.31,Rabi,Gram
Green Chilli,6.83,clay,19.1,67.21,74.9,Rabi,Wheat
Banana,7.26,sandy_loam,23.75,80.69,72.26,Rabi,Mustard
Wheat,7.2,sandy,27.38,84.0,68.1,Kharif,Cotton
Turmeric,6.48,sandy_loam,23.55,63.55,44.59,Rabi,Mustard
Wheat,6.86,silt_clay,34.46,79.75,116.9,Kharif,Maize
Sugarcane,6.77,loamy,18.09,60.27,50.64,Rabi,Mustard
Turmeric,6.35,clay,16.78,53.27,53.57,Rabi,Gram
Potato,6.62,silt_clay,25.04,65.74,154.38,Kharif,Maize
Bhindi,6.82,sandy_loam,17.72,84.27,50.82,Rabi,Gram
Papaya,6.04,loamy,16.05,75.09,51.99,Rabi,Mustard
Mango,6.61,sandy,15.26,81.0,75.44,Rabi,Wheat
Onion,6.72,sandy_loam,31.26,64.32,75.24,Kharif,Maize
Gram,7.28,loamy,34.07,70.56,108.54,Kharif,Cotton
Onion,6.01,sandy,31.15,81.6,117.74,Kharif,Maize
Potato,5.57,sandy_loam,29.07,70.57,131.79,Kharif,Maize
Mango,6.2,silt_clay,23.89,64.89,56.54,Rabi,Gram
Banana,7.18,sandy_loam,16.7,79.85,52.7,Rabi,Mustard
Banana,6.76,clay,22.6,57.24,67.82,Rabi,Gram
Mustard,6.06,clay,29.48,67.08,120.43,Kharif,Maize
Coconut,5.54,clay,28.36,67.34,210.26,Kharif,Maize
Potato,6.54,silt_clay,30.8,56.99,194.73,Kharif,Maize
Gram,6.9,sandy_loam,28.1,61.2,183.84,Kharif,Rice
Papaya,7.35,silt_clay,19.6,62.97,50.58,Rabi,Gram
Maize,6.17,sandy_loam,24.76,54.39,41.02,Rabi,Wheat
Rice,7.12,loamy,20.16,58.08,136.15,Rabi,Groundnut
Coconut,5.75,sandy,30.19,70.05,152.82,Kharif,Maize
Turmeric,5.52,loamy,22.88,53.66,70.01,Rabi,Mustard
Green Chilli,6.63,sandy_loam,20.71,55.25,71.36,Rabi,Wheat
Bhindi,6.35,silt_clay,24.57,80.77,56.18,Rabi,Gram
Coconut,6.51,loamy,27.56,62.4,233.72,Kharif,Rice
Groundnut,6.6,silt_clay,15.24,70.35,61.96,Rabi,Gram
Groundnut,6.01,sandy,21.77,50.85,56.47,Rabi,Gram
Wheat,6.54,loamy,29.88,51.18,56.27,Kharif,Maize
Mango,6.46,sandy,19.36,54.62,53.61,Rabi,Wheat
Bhindi,6.1,loamy,24.35,83.42,78.36,Rabi,Gram
Cotton,7.2,loamy,21.27,76.26,46.08,Rabi,Gram
Cotton,6.21,sandy_loam,21.45,60.09,51.95,Rabi,Mustard
Coriander,6.52,silt_clay,33.9,83.8,72.14,Kharif,Cotton
Mustard,6.62,sandy_loam,30.14,77.28,152.25,Kharif,Maize
Coconut,6.31,sandy,24.27,57.67,236.26,Kharif,Rice
Tomato,7.22,clay,17.44,55.34,92.96,Rabi,Garlic
Mango,6.54,loamy,15.67,66.27,64.38,Rabi,Wheat
Rice,6.77,sandy,22.61,50.54,240.02,Rabi,Groundnut
Papaya,7.42,silt_clay,22.26,66.87,61.02,Rabi,Gram
Coriander,7.12,silt_clay,33.68,84.15,117.14,Kharif,Maize
Papaya,6.5,clay,22.43,81.02,66.03,Rabi,Gram
Potato,5.93,loamy,25.59,70.31,107.4,Kharif,Maize
Cotton,7.11,silt_clay,15.94,67.01,76.83,Rabi,Gram
Brinjal,7.3,loamy,21.25,50.52,69.92,Rabi,Mustard
Tomato,6.68,clay,19.03,81.16,69.2,Rabi,Garlic
Cotton,6.51,sandy_loam,19.26,84.81,43.7,Rabi,Mustard
Mango,7.16,loamy,17.07,82.87,67.89,Rabi,Gram
Cotton,6.83,clay,17.71,57.08,52.55,Rabi,Gram
Coconut,6.55,sandy,28.07,78.29,224.9,Kharif,Rice
Coriander,6.65,clay,33.11,73.95,92.46,Kharif,Maize
Mango,6.03,sandy,18.37,63.92,76.39,Rabi,Gram
Garlic,6.18,loamy,25.81,74.09,73.61,Kharif,Maize
Bhindi,6.11,clay,17.2,56.31,40.62,Rabi,Mustard
Sugarcane,6.75,loamy,22.19,53.87,41.42,Rabi,Gram
Mustard,6.81,clay,25.09,50.7,158.66,Kharif,Maize
Wheat,6.4,loamy,29.64,84.02,110.85,Kharif,Cotton
Green Chilli,6.12,sandy,15.37,56.5,70.6,Rabi,Gram
Mango,7.05,sandy_loam,23.69,80.4,42.55,Rabi,Gram
Brinjal,6.28,sandy_loam,22.73,82.63,68.28,Rabi,Wheat
Garlic,7.03,loamy,32.06,62.52,105.1,Kharif,Maize
Rice,7.17,sandy_loam,25.08,74.35,228.75,Rabi,Groundnut
Papaya,7.16,clay,21.85,73.5,45.96,Rabi,Mustard
Garlic,6.47,clay,27.38,70.45,83.23,Kharif,Maize
Papaya,6.37,sandy,22.19,83.34,50.56,Rabi,Mustard
Cotton,6.29,sandy,20.12,54.0,70.59,Rabi,Mustard
Maize,7.36,sandy,19.5,84.2,46.19,Rabi,Gram
Brinjal,6.23,loamy,22.21,72.5,62.6,Rabi,Wheat
Wheat,7.23,loamy,31.44,68.56,54.2,Kharif,Maize
Banana,7.36,silt_clay,20.18,72.66,56.27,Rabi,Mustard
Bhindi,6.88,sandy,19.54,64.28,59.89,Rabi,Mustard
Bhindi,7.26,sandy_loam,18.56,56.69,74.25,Rabi,Mustard
Coconut,6.5,clay,30.58,59.16,219.31,Kharif,Maize
Ginger,5.94,silt_clay,24.53,60.91,52.38,Rabi,Wheat
Turmeric,6.92,sandy,22.8,59.26,54.86,Rabi,Mustard
Tomato,6.32,sandy,20.83,64.06,97.45,Rabi,Garlic
Tomato,6.87,loamy,21.15,51.65,93.96,Rabi,Wheat
Tomato,7.1,clay,19.2,67.79,53.15,Rabi,Onion
Mustard,7.83,silt_clay,33.53,56.94,187.44,Kharif,Maize
Bhindi,7.1,clay,19.46,60.8,64.29,Rabi,Mustard
Papaya,7.36,silt_clay,23.31,74.81,78.51,Rabi,Mustard
Sugarcane,6.72,silt_clay,17.54,72.47,51.02,Rabi,Mustard
Garlic,6.04,silt_clay,26.95,52.84,107.73,Kharif,Maize
Tomato,6.18,clay,16.23,82.48,72.7,Rabi,Onion
Groundnut,6.18,sandy,19.03,51.27,62.05,Rabi,Wheat
Sugarcane,6.07,sandy_loam,18.82,60.56,41.5,Rabi,Mustard
Maize,7.43,sandy,22.72,67.46,40.73,Rabi,Gram
Rice,7.3,sandy,22.72,50.64,237.14,Rabi,Wheat
Maize,6.92,sandy_loam,17.2,67.09,84.25,Rabi,Mustard
Onion,7.31,sandy,25.08,67.22,91.88,Kharif,Cotton
Ginger,6.35,loamy,21.31,82.31,66.98,Rabi,Wheat
Bhindi,6.11,sandy_loam,22.18,69.53,42.26,Rabi,Mustard
Gram,6.12,clay,26.29,50.64,168.96,Kharif,Rice
Maize,6.68,clay,21.05,68.09,84.41,Rabi,Gram
Green Chilli,7.23,sandy_loam,24.31,74.02,41.37,Rabi,Gram
Wheat,7.61,clay,30.81,53.14,121.76,Kharif,Maize
Banana,6.22,loamy,16.12,65.82,47.7,Rabi,Mustard
Tomato,7.33,loamy,22.62,52.04,99.92,Rabi,Garlic
Banana,6.92,clay,22.45,67.13,46.15,Rabi,Mustard
Coriander,6.02,sandy,28.46,52.99,77.78,Kharif,Maize
Potato,6.63,clay,29.29,64.69,198.14,Kharif,Rice
Coconut,7.3,clay,28.11,54.05,201.09,Kharif,Rice
Banana,7.48,clay,22.44,70.68,61.58,Rabi,Gram
Banana,7.48,sandy_loam,20.17,84.72,42.18,Rabi,Gram
Turmeric,7.48,silt_clay,15.51,71.33,64.56,Rabi,Mustard
Onion,6.93,loamy,27.97,55.57,86.12,Kharif,Maize
Brinjal,7.14,silt_clay,23.77,69.02,49.53,Rabi,Mustard
Wheat,6.37,loamy,26.51,57.89,75.1,Kharif,Groundnut
Coconut,6.26,silt_clay,31.45,55.95,247.2,Kharif,Rice
Wheat,7.14,silt_clay,26.84,62.68,83.45,Kharif,Cotton
Papaya,6.37,clay,24.54,80.87,62.55,Rabi,Mustard
Brinjal,7.37,sandy_loam,16.29,58.39,74.38,Rabi,Wheat
Coriander,6.35,loamy,31.96,84.19,105.0,Kharif,Maize
Mustard,6.2,loamy,28.31,58.69,198.8,Kharif,Cotton
Onion,6.03,sandy_loam,26.84,73.8,63.4,Kharif,Maize
Potato,5.82,sandy_loam,25.55,70.1,183.31,Kharif,Rice
Ginger,5.52,loamy,24.97,51.18,42.61,Rabi,Wheat
Tomato,6.22,sandy_loam,21.01,72.94,50.43,Rabi,Wheat
Rice,6.75,clay,24.32,61.65,209.58,Rabi,Gram
Ginger,5.84,sandy,23.88,73.46,79.93,Rabi,Mustard
Maize,7.38,loamy,18.6,59.46,90.56,Rabi,Gram
Tomato,7.24,loamy,21.48,76.19,95.3,Rabi,Wheat
Rice,5.54,silt_clay,25.29,82.87,219.82,Rabi,Mustard
Brinjal,6.19,sandy,21.82,53.56,53.13,Rabi,Wheat
Coriander,7.12,clay,27.02,74.38,112.0,Kharif,Maize
Mustard,7.76,sandy_loam,31.72,74.58,137.17,Kharif,Maize
