crop,soil_type,soil_pH,temperature,humidity,rainfall,season,N_dosage,P_dosage,K_dosage
Potato,loamy,7.73,29.79,73.63,149.22,Kharif,199.0,95.0,107.0
Maize,loamy,6.24,24.48,60.73,216.85,Kharif,136.0,69.0,66.0
Wheat,loamy,6.24,17.77,73.29,150.18,Rabi,104.0,59.0,41.0
Tomato,clay,7.88,15.76,86.34,78.04,Rabi,168.0,135.0,106.0
Rice,sandy_loam,7.83,27.2,86.23,205.02,Kharif,99.0,49.0,54.0
Tomato,clay,7.04,32.79,73.73,213.84,Kharif,165.0,108.0,99.0
Rice,sandy,6.71,30.25,83.84,111.84,Rabi,121.0,53.0,64.0
Sugarcane,clay,7.85,25.1,63.59,134.32,Rabi,240.0,96.0,91.0
Tomato,sandy,5.3,31.34,79.84,134.23,Rabi,227.0,134.0,115.0
Cotton,sandy,6.64,18.6,57.37,235.59,Rabi,144.0,57.0,62.0
Wheat,sandy_loam,5.63,17.9,85.22,243.45,Rabi,128.0,68.0,37.0
Rice,clay,5.38,20.71,66.58,147.22,Kharif,100.0,56.0,45.0
Rice,clay,5.28,33.19,73.46,214.15,Rabi,102.0,43.0,48.0
Maize,sandy_loam,6.37,30.99,72.38,40.76,Rabi,168.0,63.0,59.0
Wheat,loamy,7.53,23.92,75.43,193.69,Kharif,115.0,65.0,40.0
Rice,loamy,5.02,27.95,84.9,91.13,Kharif,96.0,45.0,50.0
Rice,clay,5.23,22.76,80.18,229.37,Rabi,82.0,43.0,45.0
Tomato,loamy,6.24,33.53,59.22,59.55,Rabi,156.0,123.0,109.0
Tomato,clay,7.84,28.73,76.6,228.05,Rabi,175.0,135.0,81.0
Wheat,sandy_loam,7.48,17.52,85.15,221.49,Kharif,106.0,54.0,39.0
Maize,clay,6.85,25.18,89.58,246.48,Kharif,135.0,62.0,46.0
Maize,sandy_loam,6.29,28.82,66.05,245.16,Rabi,163.0,80.0,58.0
Potato,clay,7.78,28.27,55.27,184.82,Kharif,189.0,88.0,104.0
Cotton,sandy,7.62,29.13,78.03,149.87,Rabi,125.0,53.0,72.0
Potato,sandy,7.73,29.61,53.58,144.34,Kharif,176.0,89.0,128.0
Wheat,clay,5.14,30.59,52.63,214.23,Kharif,101.0,61.0,38.0
Wheat,clay,5.13,21.53,71.17,51.83,Rabi,127.0,69.0,33.0
Rice,sandy,6.19,33.53,76.36,108.57,Rabi,109.0,47.0,62.0
Potato,loamy,6.29,15.13,80.38,65.79,Kharif,163.0,107.0,134.0
Cotton,loamy,6.72,15.97,60.27,78.62,Rabi,135.0,58.0,60.0
Tomato,sandy_loam,6.36,27.21,81.11,77.9,Kharif,203.0,127.0,93.0
Wheat,loamy,8.0,15.5,81.76,116.73,Kharif,133.0,55.0,35.0
Wheat,sandy_loam,6.82,17.1,62.71,90.14,Rabi,133.0,62.0,34.0
Cotton,loamy,6.65,15.24,65.06,186.48,Rabi,117.0,52.0,55.0
Rice,clay,7.28,27.19,84.8,211.79,Rabi,99.0,45.0,43.0
Potato,sandy,7.01,21.2,60.21,169.73,Kharif,217.0,99.0,158.0
Maize,clay,5.4,17.21,86.1,197.74,Rabi,116.0,67.0,46.0
Maize,loamy,7.22,20.04,53.03,175.62,Kharif,143.0,70.0,62.0
Maize,loamy,5.8,33.23,58.41,49.57,Rabi,163.0,60.0,61.0
Sugarcane,clay,5.35,22.63,51.67,61.11,Rabi,242.0,109.0,83.0
Maize,sandy_loam,6.88,23.48,67.83,84.77,Rabi,146.0,64.0,56.0
Wheat,sandy,6.73,19.14,65.22,105.56,Rabi,120.0,57.0,50.0
Cotton,clay,6.43,27.4,69.81,220.82,Rabi,109.0,54.0,54.0
Tomato,clay,7.23,20.85,56.34,123.31,Rabi,185.0,130.0,95.0
Potato,sandy,6.39,16.31,64.95,92.09,Rabi,210.0,111.0,126.0
Tomato,clay,5.32,27.94,77.79,107.53,Rabi,162.0,129.0,99.0
Wheat,sandy,5.96,17.09,46.43,160.51,Kharif,116.0,62.0,49.0
Potato,clay,5.63,28.36,67.42,208.8,Rabi,181.0,103.0,126.0
Potato,sandy_loam,7.02,30.72,50.12,211.84,Kharif,174.0,114.0,129.0
Cotton,sandy,6.7,31.28,78.41,208.63,Kharif,123.0,57.0,58.0
Wheat,sandy,7.57,24.34,57.99,152.59,Kharif,146.0,59.0,48.0
Tomato,sandy,7.46,25.95,84.28,189.69,Kharif,233.0,146.0,115.0
Rice,sandy,5.57,15.73,63.6,158.62,Rabi,113.0,59.0,66.0
Rice,loamy,7.08,34.83,46.42,61.86,Rabi,95.0,56.0,54.0
Tomato,sandy_loam,7.11,21.72,88.96,76.75,Rabi,197.0,119.0,111.0
Sugarcane,sandy,6.71,16.7,69.87,184.18,Kharif,336.0,124.0,118.0
Maize,sandy,7.02,32.83,80.19,78.65,Kharif,158.0,70.0,83.0
Cotton,sandy,7.54,24.84,81.13,125.26,Rabi,146.0,54.0,74.0
Wheat,clay,5.69,18.99,41.89,175.11,Kharif,123.0,57.0,35.0
Potato,sandy,6.48,28.24,76.34,203.14,Rabi,173.0,92.0,129.0
Maize,sandy_loam,6.12,28.46,86.23,211.46,Rabi,128.0,67.0,55.0
Maize,clay,6.27,28.39,40.86,212.23,Kharif,129.0,66.0,57.0
Potato,sandy_loam,7.66,19.35,45.36,169.23,Kharif,204.0,106.0,132.0
Rice,loamy,7.6,26.57,61.93,192.3,Rabi,103.0,51.0,54.0
Potato,loamy,7.44,31.83,73.51,174.72,Rabi,204.0,94.0,114.0
Tomato,sandy,7.38,22.2,56.17,237.77,Kharif,206.0,126.0,104.0
Maize,loamy,5.4,34.12,80.02,180.27,Rabi,163.0,73.0,62.0
Rice,loamy,5.62,17.24,53.49,51.99,Kharif,92.0,43.0,52.0
Potato,clay,7.33,28.31,78.92,137.93,Rabi,196.0,90.0,107.0
Wheat,loamy,5.11,29.34,66.9,146.83,Rabi,105.0,53.0,39.0
Maize,loamy,7.46,24.86,82.34,166.16,Rabi,147.0,64.0,53.0
Maize,sandy_loam,5.62,31.01,71.23,138.29,Kharif,166.0,79.0,69.0
Maize,loamy,7.04,16.72,63.05,196.16,Kharif,162.0,64.0,55.0
Wheat,sandy,6.16,22.07,55.78,143.11,Kharif,140.0,51.0,52.0
Potato,loamy,7.81,33.54,73.38,192.6,Rabi,155.0,92.0,131.0
Sugarcane,clay,5.21,24.67,77.1,80.44,Kharif,224.0,105.0,79.0
Wheat,clay,7.57,25.61,52.76,181.89,Kharif,114.0,61.0,42.0
Cotton,loamy,7.51,18.98,50.07,48.83,Kharif,137.0,55.0,58.0
Maize,clay,5.29,22.92,89.16,209.78,Kharif,119.0,73.0,54.0
Cotton,sandy_loam,7.79,33.94,83.6,92.64,Rabi,110.0,54.0,65.0
Rice,sandy,6.65,28.84,72.6,87.1,Kharif,103.0,55.0,59.0
Cotton,sandy_loam,7.97,17.7,88.26,166.25,Rabi,104.0,58.0,67.0
Rice,sandy,6.21,17.68,41.44,198.58,Kharif,125.0,60.0,73.0
Cotton,sandy_loam,6.62,21.09,61.86,53.81,Rabi,106.0,67.0,61.0
Maize,sandy,6.81,28.73,40.92,105.47,Rabi,186.0,75.0,71.0
Cotton,sandy,7.51,33.72,89.46,123.27,Rabi,116.0,56.0,73.0
Sugarcane,sandy,6.19,34.81,84.09,197.41,Kharif,257.0,120.0,113.0
Sugarcane,clay,7.72,18.63,57.63,109.52,Kharif,253.0,110.0,92.0
Cotton,sandy,5.29,32.11,64.0,213.7,Kharif,124.0,56.0,72.0
Cotton,loamy,5.17,33.75,69.31,186.83,Rabi,114.0,65.0,51.0
Maize,clay,6.84,31.75,49.18,129.18,Rabi,139.0,70.0,48.0
Potato,clay,5.8,20.34,83.15,42.69,Rabi,168.0,93.0,129.0
Tomato,sandy,7.29,29.27,73.13,41.32,Rabi,211.0,140.0,124.0
Wheat,sandy_loam,7.61,18.85,44.88,228.54,Kharif,108.0,61.0,46.0
Cotton,loamy,6.07,18.55,54.76,169.21,Kharif,135.0,59.0,61.0
Rice,clay,5.89,17.11,79.09,175.27,Rabi,79.0,50.0,43.0
Maize,clay,5.58,30.05,86.85,58.36,Rabi,154.0,67.0,61.0
Wheat,sandy_loam,6.41,29.22,61.95,63.69,Kharif,137.0,63.0,44.0
Sugarcane,loamy,5.66,21.08,46.48,92.22,Rabi,241.0,87.0,109.0
Wheat,sandy,6.13,32.52,85.26,143.52,Kharif,133.0,66.0,46.0
Rice,loamy,7.9,20.91,78.46,171.18,Rabi,105.0,43.0,46.0
Tomato,sandy_loam,5.98,22.69,43.75,195.23,Rabi,171.0,120.0,106.0
Tomato,clay,6.76,21.08,59.08,76.93,Rabi,149.0,112.0,86.0
Cotton,sandy_loam,5.53,20.85,67.57,107.03,Rabi,109.0,62.0,66.0
Tomato,loamy,6.55,15.15,43.92,191.48,Rabi,179.0,104.0,104.0
Maize,loamy,5.07,32.96,65.97,138.03,Kharif,129.0,69.0,61.0
Cotton,clay,6.71,18.37,73.19,130.17,Rabi,124.0,52.0,51.0
Potato,sandy_loam,6.84,30.14,53.62,150.43,Kharif,199.0,98.0,110.0
Cotton,loamy,5.64,30.65,47.38,139.45,Rabi,126.0,60.0,52.0
Tomato,loamy,6.66,32.49,76.25,92.41,Kharif,169.0,104.0,113.0
Sugarcane,clay,6.86,27.39,83.49,160.26,Kharif,229.0,110.0,85.0
Wheat,sandy_loam,5.06,22.27,66.57,223.09,Kharif,125.0,61.0,46.0
Rice,sandy_loam,7.41,19.93,88.8,112.41,Rabi,112.0,47.0,46.0
Wheat,sandy_loam,7.94,20.37,42.05,188.06,Rabi,129.0,66.0,37.0
Tomato,sandy_loam,5.02,17.5,87.81,200.46,Kharif,163.0,134.0,89.0
Tomato,sandy_loam,5.76,17.53,72.94,87.48,Rabi,184.0,128.0,111.0
Sugarcane,sandy_loam,5.82,30.78,82.73,233.34,Rabi,282.0,94.0,102.0
Sugarcane,loamy,5.47,19.13,63.41,203.72,Rabi,253.0,106.0,115.0
Maize,clay,6.47,19.33,48.49,40.03,Kharif,149.0,80.0,61.0
Cotton,clay,7.79,27.53,44.2,225.85,Kharif,110.0,60.0,63.0
Tomato,clay,5.11,19.74,78.96,167.26,Rabi,194.0,126.0,102.0
Sugarcane,loamy,5.57,15.53,87.38,183.61,Rabi,237.0,105.0,101.0
Tomato,clay,5.99,30.63,54.41,110.24,Kharif,178.0,136.0,103.0
Rice,sandy,7.05,27.32,87.19,238.29,Rabi,123.0,62.0,66.0
Sugarcane,sandy,7.34,34.26,64.93,169.33,Rabi,279.0,124.0,126.0
Maize,sandy,5.76,21.62,53.49,147.4,Rabi,176.0,87.0,73.0
Potato,clay,5.82,33.15,85.2,233.97,Kharif,164.0,91.0,112.0
Maize,clay,5.58,27.55,88.97,137.52,Kharif,140.0,78.0,53.0
Wheat,clay,7.03,23.29,74.48,112.24,Rabi,121.0,53.0,33.0
Wheat,loamy,6.75,20.32,41.57,65.08,Rabi,137.0,60.0,39.0
Cotton,sandy_loam,6.72,30.13,53.66,99.56,Kharif,122.0,56.0,55.0
Maize,clay,7.67,19.2,89.09,187.41,Kharif,139.0,62.0,52.0
Tomato,loamy,7.18,26.6,47.29,105.16,Kharif,181.0,123.0,107.0
Tomato,loamy,7.64,26.82,84.7,64.42,Rabi,194.0,113.0,107.0
Tomato,loamy,5.66,31.33,76.69,80.59,Rabi,170.0,136.0,104.0
Potato,clay,5.97,32.0,75.39,222.54,Kharif,191.0,87.0,101.0
Tomato,clay,6.47,33.99,54.45,248.62,Rabi,163.0,131.0,103.0
Sugarcane,sandy_loam,6.77,20.5,86.9,177.2,Kharif,255.0,89.0,93.0
Cotton,sandy_loam,5.95,25.72,73.06,187.73,Kharif,122.0,61.0,62.0
Tomato,sandy_loam,5.29,20.07,45.2,107.71,Rabi,174.0,120.0,90.0
Sugarcane,clay,6.04,23.24,86.6,103.34,Rabi,239.0,97.0,85.0
Rice,loamy,5.46,23.81,70.76,57.53,Rabi,89.0,54.0,47.0
Rice,sandy,7.37,30.79,44.56,143.83,Kharif,138.0,48.0,70.0
Rice,sandy_loam,6.41,28.12,67.98,184.28,Rabi,96.0,55.0,49.0
Rice,clay,5.06,17.49,60.68,143.5,Kharif,85.0,56.0,42.0
Rice,sandy,6.17,20.43,81.44,114.92,Rabi,124.0,51.0,61.0
Tomato,sandy_loam,5.4,22.71,49.11,95.6,Kharif,174.0,112.0,96.0
Sugarcane,loamy,5.25,31.82,61.35,134.79,Kharif,239.0,98.0,93.0
Maize,loamy,5.26,19.4,40.44,190.39,Rabi,150.0,69.0,58.0
Maize,sandy_loam,6.39,21.27,73.25,216.32,Kharif,159.0,65.0,53.0
Rice,clay,6.52,33.82,83.82,61.54,Kharif,79.0,55.0,43.0
Rice,clay,6.74,26.19,45.26,75.15,Rabi,90.0,43.0,45.0
Potato,clay,7.55,29.6,76.03,116.88,Kharif,170.0,107.0,113.0
Sugarcane,clay,5.54,19.53,61.15,163.21,Kharif,241.0,89.0,93.0
Rice,clay,7.66,26.97,65.11,69.16,Kharif,93.0,56.0,48.0
Potato,clay,6.82,27.57,44.53,137.82,Rabi,188.0,98.0,129.0
Tomato,loamy,7.35,24.21,89.68,121.16,Kharif,194.0,125.0,114.0
Sugarcane,clay,7.45,32.95,71.06,141.1,Kharif,206.0,101.0,99.0
Cotton,sandy,7.97,35.0,66.67,213.58,Rabi,129.0,51.0,57.0
Potato,sandy_loam,6.6,16.96,47.65,218.75,Kharif,170.0,113.0,117.0
Cotton,clay,5.61,28.75,57.46,147.48,Kharif,109.0,61.0,59.0
Potato,sandy_loam,7.13,32.93,44.76,221.49,Kharif,206.0,96.0,125.0
Potato,sandy_loam,7.48,31.58,60.85,192.73,Kharif,186.0,115.0,103.0
Maize,sandy,5.53,21.07,56.84,159.24,Kharif,196.0,67.0,71.0
Potato,loamy,7.41,20.46,81.02,168.44,Kharif,175.0,104.0,110.0
Cotton,sandy,6.04,28.15,40.78,53.52,Kharif,132.0,60.0,58.0
Tomato,clay,5.21,19.47,62.0,139.52,Kharif,150.0,107.0,101.0
Rice,loamy,5.85,15.37,61.61,216.43,Rabi,104.0,56.0,44.0
Rice,loamy,5.33,26.97,44.75,118.96,Rabi,98.0,52.0,57.0
Potato,sandy_loam,7.89,34.66,73.34,63.86,Kharif,198.0,104.0,111.0
Tomato,sandy,5.35,19.8,49.82,156.03,Rabi,235.0,136.0,129.0
Sugarcane,sandy,6.65,29.13,74.24,148.26,Rabi,324.0,105.0,102.0
Wheat,sandy,5.4,24.35,70.29,129.95,Kharif,124.0,61.0,42.0
Rice,sandy_loam,5.26,26.14,82.26,207.14,Rabi,115.0,43.0,46.0
Maize,loamy,6.57,15.14,55.83,182.21,Rabi,164.0,76.0,61.0
Potato,sandy_loam,7.35,16.77,43.99,104.42,Rabi,204.0,93.0,138.0
Tomato,loamy,7.92,27.59,83.72,40.23,Rabi,206.0,113.0,103.0
Potato,sandy_loam,6.01,22.77,47.94,149.93,Rabi,198.0,115.0,106.0
Sugarcane,sandy_loam,5.76,28.97,84.34,88.47,Kharif,286.0,114.0,95.0
Rice,clay,6.64,26.51,41.11,238.47,Rabi,93.0,44.0,43.0
Sugarcane,loamy,6.8,33.5,51.43,143.68,Rabi,260.0,92.0,97.0
Tomato,sandy,6.24,30.79,72.71,77.74,Kharif,202.0,132.0,104.0
Maize,sandy,5.93,25.44,73.19,120.03,Kharif,189.0,88.0,75.0
Tomato,sandy,6.09,26.6,69.64,163.29,Rabi,199.0,120.0,106.0
Potato,sandy,5.77,22.75,42.61,140.52,Rabi,172.0,87.0,134.0
Tomato,sandy,5.24,30.3,62.67,121.68,Kharif,215.0,141.0,113.0
Potato,loamy,7.38,19.69,58.53,120.23,Rabi,186.0,100.0,115.0
Sugarcane,clay,5.11,32.88,84.89,62.5,Rabi,231.0,93.0,95.0
Sugarcane,sandy,6.07,24.82,86.09,140.91,Kharif,265.0,125.0,110.0
Maize,clay,5.82,19.89,46.85,218.3,Rabi,150.0,67.0,51.0
Tomato,loamy,6.33,30.87,67.86,236.62,Kharif,181.0,124.0,93.0
Potato,sandy,5.26,18.1,52.37,246.41,Rabi,200.0,105.0,154.0
Rice,clay,5.25,33.21,63.22,68.88,Kharif,101.0,49.0,46.0
Sugarcane,loamy,6.82,34.04,60.43,74.22,Rabi,256.0,105.0,115.0
Rice,loamy,7.75,25.66,47.9,186.14,Rabi,90.0,52.0,48.0
Sugarcane,clay,6.68,24.64,42.24,158.01,Kharif,208.0,91.0,96.0
Wheat,sandy,6.83,26.37,79.6,247.2,Rabi,128.0,67.0,54.0
Maize,sandy,6.0,28.91,74.93,187.83,Kharif,159.0,76.0,65.0
Sugarcane,clay,7.01,18.89,50.0,138.61,Kharif,244.0,108.0,93.0
Maize,loamy,7.04,28.6,73.45,237.89,Rabi,131.0,80.0,68.0
Tomato,sandy_loam,7.24,17.95,81.26,59.77,Rabi,186.0,125.0,104.0
Tomato,loamy,7.58,21.02,87.05,99.02,Kharif,189.0,137.0,98.0
Potato,sandy_loam,5.92,19.45,63.53,233.76,Rabi,187.0,113.0,109.0
Rice,sandy,7.09,20.95,86.22,243.92,Kharif,131.0,59.0,56.0
Sugarcane,loamy,7.68,24.86,57.85,209.65,Rabi,246.0,97.0,102.0
Rice,sandy_loam,6.04,23.71,79.72,98.41,Rabi,87.0,49.0,46.0
Cotton,loamy,7.01,34.16,78.48,166.84,Rabi,137.0,59.0,67.0
Rice,clay,5.69,15.03,76.47,243.04,Rabi,96.0,52.0,44.0
Maize,sandy_loam,5.18,33.84,82.49,217.44,Kharif,128.0,71.0,65.0
Sugarcane,clay,7.11,33.57,74.31,183.03,Kharif,246.0,105.0,77.0
Tomato,sandy_loam,7.81,22.84,63.71,128.53,Kharif,156.0,130.0,107.0
Sugarcane,sandy_loam,5.55,31.83,66.77,188.65,Kharif,263.0,102.0,96.0
Rice,sandy,6.11,19.84,80.16,138.76,Rabi,125.0,56.0,57.0
Wheat,sandy_loam,6.94,29.24,48.92,56.71,Kharif,113.0,62.0,35.0
Maize,loamy,5.2,23.03,78.24,232.19,Rabi,140.0,66.0,66.0
Tomato,sandy,6.3,19.52,57.48,176.98,Rabi,227.0,122.0,124.0
Wheat,sandy_loam,7.19,33.36,85.59,195.18,Rabi,116.0,68.0,38.0
Sugarcane,sandy,7.23,21.19,68.09,231.44,Rabi,288.0,99.0,129.0
Sugarcane,sandy_loam,6.38,18.08,55.79,220.11,Kharif,252.0,105.0,90.0
Wheat,clay,5.77,18.81,73.5,40.08,Rabi,122.0,52.0,33.0
Wheat,sandy_loam,7.97,17.04,60.23,53.11,Rabi,111.0,63.0,34.0
Potato,sandy_loam,7.53,19.71,59.69,118.27,Kharif,172.0,87.0,131.0
Cotton,loamy,7.97,24.58,51.42,120.19,Kharif,108.0,61.0,57.0
Maize,clay,5.03,24.16,46.59,179.51,Kharif,129.0,62.0,47.0
Sugarcane,loamy,6.5,28.19,63.3,184.1,Rabi,250.0,98.0,93.0
Wheat,clay,7.79,27.57,59.75,93.35,Rabi,98.0,64.0,37.0
Sugarcane,clay,5.54,23.09,64.74,242.8,Rabi,250.0,90.0,94.0
Cotton,sandy_loam,7.13,16.23,85.95,57.03,Rabi,109.0,67.0,53.0
Wheat,sandy_loam,6.76,21.31,44.35,86.82,Rabi,121.0,51.0,43.0
Sugarcane,clay,7.13,34.85,76.84,43.51,Kharif,242.0,101.0,85.0
Wheat,sandy,6.42,22.56,65.86,126.75,Kharif,139.0,51.0,51.0
Tomato,loamy,5.82,32.31,54.17,117.05,Kharif,177.0,112.0,96.0
Tomato,sandy_loam,7.34,24.02,89.17,101.51,Rabi,162.0,137.0,102.0
Potato,sandy,7.88,19.25,43.9,141.62,Rabi,186.0,106.0,151.0
Rice,sandy,5.53,19.41,49.32,203.71,Rabi,131.0,57.0,59.0
Tomato,sandy_loam,7.24,26.67,48.76,111.5,Rabi,187.0,135.0,97.0
Wheat,loamy,6.22,33.53,75.52,127.97,Rabi,116.0,52.0,44.0
Potato,sandy_loam,7.97,17.03,81.72,120.24,Kharif,180.0,86.0,130.0
Tomato,sandy_loam,5.39,31.46,78.93,144.98,Rabi,163.0,131.0,96.0
Sugarcane,sandy_loam,7.69,17.79,76.23,148.05,Kharif,214.0,92.0,103.0
Tomato,sandy,5.98,23.81,53.72,128.96,Kharif,201.0,121.0,132.0
Rice,sandy,5.97,15.87,86.23,233.01,Rabi,122.0,63.0,65.0
Cotton,sandy,7.68,15.23,88.3,139.44,Rabi,128.0,67.0,62.0
Rice,sandy,6.37,25.45,72.23,176.54,Rabi,110.0,49.0,57.0
Rice,sandy,6.14,29.88,50.28,205.44,Rabi,114.0,53.0,66.0
Wheat,clay,6.46,29.08,41.49,42.05,Rabi,108.0,59.0,43.0
Wheat,sandy_loam,7.89,33.03,53.52,208.74,Kharif,136.0,53.0,38.0
Rice,loamy,6.85,34.62,71.59,94.56,Rabi,85.0,55.0,44.0
Rice,loamy,7.29,23.17,77.96,229.76,Kharif,108.0,54.0,52.0
Maize,sandy_loam,7.05,33.81,73.17,222.97,Kharif,145.0,72.0,64.0
Maize,sandy,6.22,19.65,66.74,81.75,Rabi,151.0,82.0,62.0
Tomato,sandy_loam,7.32,22.85,73.16,191.34,Rabi,189.0,106.0,95.0
Sugarcane,sandy_loam,7.23,15.86,81.58,216.0,Kharif,281.0,86.0,104.0
Rice,sandy_loam,7.7,34.25,62.21,197.51,Rabi,105.0,52.0,44.0
Tomato,sandy_loam,6.89,19.37,73.51,173.52,Rabi,171.0,128.0,114.0
Rice,sandy,6.83,33.99,59.83,240.36,Rabi,128.0,50.0,56.0
Tomato,clay,5.73,31.3,45.31,142.34,Rabi,187.0,102.0,104.0
Maize,clay,6.35,31.11,48.08,101.5,Rabi,154.0,70.0,49.0
Wheat,sandy,5.31,20.91,44.53,180.28,Rabi,127.0,65.0,43.0
Rice,sandy_loam,6.29,22.58,85.75,92.75,Rabi,92.0,51.0,47.0
Rice,sandy,5.73,34.46,59.65,227.33,Kharif,118.0,53.0,68.0
Potato,sandy,6.88,17.54,49.65,149.91,Kharif,189.0,105.0,128.0
Maize,clay,5.65,23.39,49.41,41.74,Kharif,151.0,80.0,60.0
Sugarcane,clay,6.6,20.77,46.37,102.15,Rabi,220.0,91.0,88.0
Tomato,clay,5.63,20.2,85.98,199.47,Rabi,166.0,112.0,89.0
Maize,sandy_loam,6.1,19.15,85.59,76.72,Kharif,153.0,80.0,60.0
Potato,clay,7.51,15.31,70.84,93.74,Rabi,158.0,87.0,126.0
Sugarcane,loamy,7.89,30.65,54.93,174.69,Kharif,261.0,115.0,92.0
Cotton,sandy,5.57,21.42,60.97,164.73,Kharif,128.0,60.0,59.0
Rice,loamy,6.55,26.87,79.69,175.79,Rabi,97.0,55.0,56.0
Sugarcane,sandy_loam,7.69,30.86,88.13,88.57,Rabi,219.0,111.0,96.0
Maize,loamy,7.52,21.47,81.93,61.75,Kharif,141.0,78.0,69.0
Rice,sandy_loam,5.6,19.32,74.56,166.64,Kharif,99.0,55.0,43.0
Tomato,loamy,5.43,24.06,41.1,133.46,Rabi,160.0,125.0,114.0
Cotton,clay,7.95,29.62,82.53,50.11,Kharif,106.0,66.0,49.0
Potato,sandy,7.78,32.43,79.57,185.75,Rabi,195.0,107.0,135.0
Cotton,loamy,6.61,33.39,67.02,188.18,Kharif,122.0,58.0,58.0
Cotton,clay,5.61,21.2,77.04,45.19,Rabi,125.0,64.0,59.0
Rice,sandy,6.55,20.22,89.81,242.74,Kharif,134.0,57.0,62.0
Wheat,sandy_loam,6.6,31.84,69.17,52.93,Rabi,128.0,60.0,45.0
Potato,sandy,6.99,24.2,53.5,214.68,Kharif,176.0,89.0,123.0
Sugarcane,sandy,7.8,18.0,60.99,231.44,Kharif,277.0,106.0,106.0
Wheat,clay,6.1,25.71,79.42,211.8,Kharif,111.0,57.0,36.0
Potato,loamy,7.24,20.13,87.67,84.88,Kharif,168.0,107.0,119.0
Tomato,clay,7.14,31.52,44.48,103.09,Rabi,160.0,121.0,100.0
Rice,sandy,7.69,22.78,40.54,230.13,Rabi,115.0,63.0,68.0
Tomato,loamy,5.11,26.33,58.59,227.42,Kharif,168.0,123.0,96.0
Potato,sandy_loam,6.18,22.45,71.4,76.69,Kharif,154.0,106.0,124.0
Tomato,sandy,6.32,28.98,48.73,174.9,Rabi,207.0,127.0,125.0
Wheat,sandy,5.23,28.42,81.06,91.38,Kharif,118.0,68.0,46.0
Wheat,loamy,5.26,23.27,77.51,185.61,Rabi,118.0,61.0,44.0
Cotton,loamy,5.41,28.42,88.96,151.71,Rabi,135.0,58.0,57.0
Maize,loamy,5.03,27.73,59.69,102.66,Kharif,132.0,73.0,54.0
Cotton,loamy,5.87,19.16,59.83,63.36,Kharif,124.0,52.0,58.0
Maize,sandy,7.94,25.91,87.5,77.68,Rabi,178.0,72.0,65.0
Wheat,clay,6.65,31.34,87.98,206.46,Rabi,111.0,52.0,41.0
Sugarcane,sandy,6.82,24.89,85.65,119.19,Rabi,283.0,116.0,104.0
Wheat,loamy,7.26,17.65,67.35,154.71,Rabi,111.0,56.0,34.0
Rice,clay,5.76,22.24,63.62,49.59,Rabi,83.0,50.0,44.0
Maize,sandy,7.85,34.97,51.77,192.67,Rabi,161.0,83.0,73.0
Wheat,sandy,6.22,25.43,84.83,81.22,Kharif,132.0,53.0,49.0
Maize,clay,5.54,29.48,80.61,182.62,Kharif,136.0,64.0,51.0
Maize,sandy_loam,6.34,30.8,80.11,191.13,Kharif,146.0,66.0,55.0
Rice,sandy_loam,6.44,15.42,80.98,213.22,Kharif,108.0,50.0,46.0
Wheat,sandy_loam,7.62,22.9,56.75,83.53,Kharif,115.0,65.0,41.0
Potato,sandy,6.41,18.74,66.06,220.05,Kharif,216.0,109.0,125.0
Rice,sandy,7.62,25.58,86.95,207.74,Kharif,102.0,48.0,57.0
Potato,sandy_loam,6.28,25.93,57.8,206.47,Kharif,177.0,91.0,137.0
Maize,sandy,5.09,18.41,71.65,128.17,Rabi,168.0,75.0,73.0
Potato,loamy,6.01,15.92,58.51,148.84,Rabi,173.0,95.0,138.0
Wheat,sandy_loam,6.54,26.28,64.71,193.69,Kharif,116.0,57.0,39.0
Maize,sandy,5.98,19.84,48.45,202.72,Rabi,160.0,83.0,71.0
Wheat,loamy,6.13,27.54,47.3,212.83,Rabi,136.0,69.0,44.0
Tomato,clay,5.96,23.62,42.62,248.43,Kharif,163.0,132.0,91.0
Cotton,loamy,5.58,20.29,81.74,174.2,Kharif,138.0,68.0,51.0
Tomato,sandy,6.35,23.01,85.89,115.43,Rabi,224.0,125.0,122.0
Rice,clay,7.76,34.87,42.25,199.81,Kharif,94.0,44.0,39.0
Tomato,loamy,5.24,18.51,52.94,197.24,Rabi,157.0,125.0,115.0
Maize,sandy,5.86,25.34,53.17,84.07,Rabi,160.0,77.0,70.0
Potato,clay,6.98,23.29,40.49,169.02,Rabi,189.0,101.0,108.0
Wheat,sandy,7.02,15.33,56.95,207.09,Rabi,140.0,58.0,48.0
Rice,loamy,5.22,19.53,76.51,165.75,Kharif,112.0,55.0,53.0
Cotton,sandy,7.06,21.41,49.94,219.47,Kharif,142.0,64.0,57.0
Cotton,sandy_loam,7.16,23.51,55.63,199.96,Rabi,119.0,55.0,63.0
Sugarcane,loamy,7.74,26.39,50.43,112.07,Kharif,281.0,98.0,105.0
Wheat,clay,7.58,26.32,47.86,185.03,Kharif,120.0,58.0,34.0
Maize,sandy,6.6,17.03,83.63,146.6,Rabi,153.0,88.0,70.0
Maize,clay,7.54,30.18,54.85,129.58,Kharif,153.0,76.0,61.0
Potato,clay,7.9,31.87,66.33,83.37,Kharif,158.0,86.0,98.0
Maize,sandy,7.48,17.14,65.24,186.39,Kharif,192.0,85.0,74.0
